Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Iteration01,Chrome 97.0.4692.71,,,2022-01-17 07:40:04,2022-01-17 09:27:30,1h - 47m - 26.521s,PASSED
,,,,,,,
Test Cases/Sign up/Sign up with correct information,Chrome 97.0.4692.71,,,2022-01-17 07:40:04,2022-01-17 07:43:17,3m - 12.838s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 07:40:05,2022-01-17 07:40:09,4.145s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 07:40:09,2022-01-17 07:40:11,2.186s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 07:40:11,2022-01-17 07:40:14,2.969s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""hoanghuy123"")",Chrome 97.0.4692.71,,,2022-01-17 07:40:14,2022-01-17 07:41:14,1m - 0.394s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""+prAWSr+2zbEAzlFsB6VFw=="")",Chrome 97.0.4692.71,,,2022-01-17 07:41:14,2022-01-17 07:41:45,30.397s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), ""+prAWSr+2zbEAzlFsB6VFw=="")",Chrome 97.0.4692.71,,,2022-01-17 07:41:45,2022-01-17 07:41:47,1.816s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Confirm password_mx_Field_1""), ""nchhuy19@apcs.fitus.edu.vn"")",Chrome 97.0.4692.71,,,2022-01-17 07:41:47,2022-01-17 07:42:47,1m - 0.299s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 07:42:47,2022-01-17 07:43:17,30.166s,PASSED
,,,,,,,
Test Cases/Sign up/Sign up with an existed username,Chrome 97.0.4692.71,,,2022-01-17 07:43:17,2022-01-17 07:48:30,5m - 12.740s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 07:43:18,2022-01-17 07:43:21,2.911s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 07:43:21,2022-01-17 07:43:23,2.380s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 07:43:23,2022-01-17 07:43:28,4.771s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""bqhuy19"")",Chrome 97.0.4692.71,,,2022-01-17 07:43:28,2022-01-17 07:44:28,1m - 0.283s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""hk4lGgMz64ADmWBUEkMbyw=="")",Chrome 97.0.4692.71,,,2022-01-17 07:44:28,2022-01-17 07:44:58,30.248s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Confirm password""))",Chrome 97.0.4692.71,,,2022-01-17 07:44:58,2022-01-17 07:45:29,30.191s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), ""hk4lGgMz64ADmWBUEkMbyw=="")",Chrome 97.0.4692.71,,,2022-01-17 07:45:29,2022-01-17 07:45:59,30.215s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Confirm password_mx_Field_1""), ""nchhuy19@apcs.fitus.edu.vn"")",Chrome 97.0.4692.71,,,2022-01-17 07:45:59,2022-01-17 07:46:59,1m - 0.343s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 07:46:59,2022-01-17 07:47:29,30.166s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""))",Chrome 97.0.4692.71,,,2022-01-17 07:47:29,2022-01-17 07:47:59,30.152s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Create accountHost account onmatrix.org_6b4dd0""))",Chrome 97.0.4692.71,,,2022-01-17 07:47:59,2022-01-17 07:48:30,30.450s,PASSED
,,,,,,,
Test Cases/Sign up/Sign up with an email that is registerd in sign in with email,Chrome 97.0.4692.71,,,2022-01-17 07:48:30,2022-01-17 07:53:11,4m - 40.796s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 07:48:30,2022-01-17 07:48:33,3.012s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 07:48:33,2022-01-17 07:48:35,1.909s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 07:48:35,2022-01-17 07:48:39,3.874s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""quanghuytest123"")",Chrome 97.0.4692.71,,,2022-01-17 07:48:39,2022-01-17 07:49:40,1m - 0.317s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 07:49:40,2022-01-17 07:50:10,30.214s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Confirm password""))",Chrome 97.0.4692.71,,,2022-01-17 07:50:10,2022-01-17 07:50:40,30.149s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 07:50:40,2022-01-17 07:51:10,30.204s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Confirm password_mx_Field_1""), ""quanghuybui93@gmail.com"")",Chrome 97.0.4692.71,,,2022-01-17 07:51:10,2022-01-17 07:52:10,1m - 0.281s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 07:52:10,2022-01-17 07:52:41,30.172s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_That e-mail address is already in use""))",Chrome 97.0.4692.71,,,2022-01-17 07:52:41,2022-01-17 07:53:11,30.157s,PASSED
,,,,,,,
Test Cases/Sign up/Sign up with incorrect confirm password,Chrome 97.0.4692.71,,,2022-01-17 07:53:11,2022-01-17 07:58:00,4m - 49.152s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 07:53:11,2022-01-17 07:53:13,1.884s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 07:53:13,2022-01-17 07:53:15,1.654s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 07:53:15,2022-01-17 07:53:47,32.559s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""bqhuy342"")",Chrome 97.0.4692.71,,,2022-01-17 07:53:47,2022-01-17 07:54:48,1m - 0.299s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 07:54:48,2022-01-17 07:55:18,30.254s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), ""hk4lGgMz64AmQDO542nGmg=="")",Chrome 97.0.4692.71,,,2022-01-17 07:55:18,2022-01-17 07:55:48,30.221s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Confirm password_mx_Field_1""), ""nchhuy19@apcs.fitus.edu.vn"")",Chrome 97.0.4692.71,,,2022-01-17 07:55:48,2022-01-17 07:56:48,1m - 0.331s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 07:56:48,2022-01-17 07:57:19,30.184s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Create accountHost account onmatrix.org_6b4dd0""))",Chrome 97.0.4692.71,,,2022-01-17 07:57:19,2022-01-17 07:57:49,30.137s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 07:57:49,2022-01-17 07:58:00,11.195s,PASSED
,,,,,,,
Test Cases/Sign up/Sign up with username containing special character,Chrome 97.0.4692.71,,,2022-01-17 07:58:00,2022-01-17 08:02:38,4m - 37.857s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 07:58:00,2022-01-17 07:58:02,1.922s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 07:58:02,2022-01-17 07:58:04,1.900s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 07:58:04,2022-01-17 07:58:36,32.168s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""#$21!dsas"")",Chrome 97.0.4692.71,,,2022-01-17 07:58:36,2022-01-17 07:59:37,1m - 0.270s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""hk4lGgMz64ADmWBUEkMbyw=="")",Chrome 97.0.4692.71,,,2022-01-17 07:59:37,2022-01-17 08:00:07,30.243s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), ""hk4lGgMz64ADmWBUEkMbyw=="")",Chrome 97.0.4692.71,,,2022-01-17 08:00:07,2022-01-17 08:00:37,30.235s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Confirm password_mx_Field_1""), ""nchhuy19@apcs.fitus.edu.vn"")",Chrome 97.0.4692.71,,,2022-01-17 08:00:37,2022-01-17 08:01:37,1m - 0.324s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:01:37,2022-01-17 08:02:08,30.196s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Create accountHost account onmatrix.org_6b4dd0""))",Chrome 97.0.4692.71,,,2022-01-17 08:02:08,2022-01-17 08:02:38,30.142s,PASSED
,,,,,,,
Test Cases/Sign up/Sign up without input email,Chrome 97.0.4692.71,,,2022-01-17 08:02:38,2022-01-17 08:06:13,3m - 35.739s,PASSED
